INSEE,POSTAL,CITY,PRICE,TFB,,
78158,78150,CHESNAY,24.1,25.69349,,
78551,78100,ST GERMAIN EN LAYE,24.1,21.53958,,
92022,92370,CHAVILLE,24.1,25.84,,
78227,78740,EVECQUEMONT,19.3,21.73,,
78322,78350,JOUY EN JOSAS,19.3,34.25,,
78335,78520,LIMAY,19.3,33.08,,
78350,78430,LOUVECIENNES,19.3,23.98,,
78362,78711,MANTES LA VILLE,14.73,32.46,,
78367,78750,Mareil-Marly,20.47,25.16,,
78396,78600,MESNIL LE ROI,14.73,25.1,,
78423,78180,MONTIGNY LE BRETONNEUX,20.47,31.57,,
95555,95210,ST GRATIEN,19.3,39.91,,
78642,78480,VERNEUIL SUR SEINE,19.3,34.52,,
78688,78960,VOISINS LE BRETONNEUX,20.47,38.4,,
94037,94250,GENTILLY,20.47,49.64,,
95257,95530,FRETTE SUR SEINE,19.3,37.79,,
94042,94340,JOINVILLE LE PONT,20.47,40.67,,
93029,93700,DRANCY,19.3,42.49,,
92026,92400,COURBEVOIE,24.1,16.58,,
95218,95610,ERAGNY,19.3,45.72,,
94043,94270,KREMLIN BICETRE,24.1,41.95,,
91435,91250,Morsang-sur-Seine,14.73,26.45,,
91552,91180,ST GERMAIN LES ARPAJON,19.3,36.35,,
93027,93120,COURNEUVE,20.47,41.36,,
91345,91160,LONGJUMEAU,19.3,41.37,,
94056,94520,Périgny,14.73,31.25,,
94078,94190,VILLENEUVE SAINT GEORGES,20.47,36.09,,
91468,91540,Ormoy,19.3,31.37,,
94067,94160,ST MANDE,28.33,32.55,,
92075,92170,VANVES,24.1,28.91,,
91432,91420,MORANGIS,19.3,33.13,,
91312,91430,IGNY,19.3,43.74,,
91689,91320,WISSOUS,19.3,32.38,,
95313,95290,ISLE ADAM,19.3,38.62,,
95574,95390,ST PRIX,19.3,38.69,,
93047,93370,MONTFERMEIL,19.3,32.51,,
91692,91940,ULIS,19.3,33.69,,
91201,91210,DRAVEIL,19.3,35.76,,
93031,93800,EPINAY SUR SEINE,20.47,39.87,,
92009,92270,BOIS COLOMBES,24.1,23.87,,
93066,93200,SAINT DENIS,20.47,38.94,,
94041,94200,IVRY SUR SEINE,20.47,47.82,,
77487,77000,VAUX LE PENIL,19.3,49.46,,
